	log_likelihood
1417	257.7034
1418	276.19644
1419	312.73215
1420	205.31221
1421	247.73203
1422	327.8583
1423	303.67593
1424	286.71298
1425	291.4446
1426	263.06256
1427	297.64435
1428	282.44183
1429	254.71182
1430	250.29533
1431	308.95227
1432	108.03505
1433	280.57602
1434	219.10535
1435	238.69218
1436	311.32675
1437	292.6668
1438	194.39873
1439	180.46832
1440	304.67123
1441	244.99417
1442	313.806
1443	255.57674
1444	303.61023
1445	185.05724
1446	291.74948
1447	278.32526
1448	179.76996
1449	281.4737
1450	305.4485
1451	236.51079
1452	292.2553
1453	310.60922
1454	238.90596
1455	239.58487
1456	148.50029
1457	285.29184
1458	258.82257
1459	323.9095
1460	327.3991
1461	284.86047
1462	294.84854
1463	206.19243
1464	287.4654
1465	275.76654
1466	309.24753
1467	138.9581
1468	279.43024
1469	245.7684
1470	290.97665
1471	301.77704
1472	312.0638
1473	316.1868
1474	212.85713
1475	292.59567
1476	306.2167
1477	255.59714
1478	280.23874
1479	217.76201
1480	311.3642
1481	300.03574
1482	140.0286
1483	138.21823
1484	269.72528
1485	285.89807
1486	299.0045
1487	315.82974
1488	297.07657
1489	269.0412
1490	302.5842
1491	291.18695
1492	294.11514
1493	295.32925
1494	235.08337
1495	225.16724
1496	220.7251
1497	272.39935
1498	268.72723
1499	300.8344
1500	247.53671
1501	299.90802
1502	272.6855
1503	307.37338
1504	290.72336
1505	334.61847
1506	321.94913
1507	318.32297
1508	309.16327
1509	274.91006
1510	321.05426
1511	271.2032
1512	267.1049
1513	220.6683
1514	317.99603
1515	239.1051
1516	291.41284
1517	310.32727
1518	302.67496
1519	290.70166
1520	290.63687
1521	321.97934
1522	295.16058
1523	313.99118
1524	266.8477
1525	313.9479
1526	198.60564
1527	159.686
1528	311.02515
1529	276.50974
1530	279.75003
1531	247.59074
1532	262.15347
1533	240.9834
1534	297.75732
1535	274.20795
1536	264.84247
1537	284.78326
1538	297.83746
1539	265.4394
1540	332.62042
1541	277.8636
1542	291.06573
1543	306.96
1544	134.95738
1545	268.17307
1546	263.29004
1547	219.4061
1548	231.56975
1549	302.7679
1550	323.68085
1551	301.20575
1552	320.58542
1553	313.00406
1554	320.8983
1555	281.0839
1556	262.85806
1557	321.15463
1558	298.9576
1559	225.31906
1560	302.55798
1561	312.84225
1562	283.91718
1563	260.40497
1564	258.77606
1565	219.6363
1566	296.14996
1567	303.471
1568	317.9587
1569	303.13046
1570	263.54752
1571	223.51994
1572	296.59406
1573	305.0965
1574	266.83423
1575	297.73367
1576	306.01532
1577	276.68988
1578	291.90286
1579	263.4564
1580	291.32257
1581	312.8432
1582	301.56656
1583	206.80241
1584	326.18707
1585	290.91766
1586	305.15344
1587	183.57547
1588	307.34637
1589	280.94342
1590	320.91837
1591	223.90166
1592	317.7272
1593	253.30542
1594	271.115
1595	292.83868
1596	313.39835
1597	316.40402
1598	276.58194
1599	160.88152
1600	296.20557
1601	311.43848
1602	297.96844
1603	242.5317
1604	309.83502
1605	303.38632
1606	288.99872
